Age,Attrition,Business Travel,Daily Rate,Department,Education Field,Employee Number,Gender,Hourly Rate,Job Level,Job Role,Marital Status,Monthly Income,Monthly Rate,Over Time,Percent Salary Hike,Performance Rating,Standard Hours,Total Working Years,Years At Company,Years In Current Role
41,Yes,Travel Frequently,143,Sales,Marketing,488,Male,56,2,Sales Executive,Single,9355,9558,No,18,3,80,8,8,7
50,No,Travel Rarely,1046,Research & Development,Technical Degree,491,Male,100,3,Healthcare Representative,Single,10496,2755,No,15,3,80,20,4,3
40,Yes,Travel Rarely,575,Sales,Marketing,492,Male,68,2,Sales Executive,Married,6380,6110,Yes,12,3,80,8,6,4
31,No,Travel Rarely,408,Research & Development,Life Sciences,493,Male,42,1,Research Scientist,Single,2657,7551,Yes,16,3,80,3,2,2
21,Yes,Travel Rarely,156,Sales,Life Sciences,494,Female,90,1,Sales Representative,Single,2716,25422,No,15,3,80,1,1,0
29,No,Travel Rarely,1283,Research & Development,Life Sciences,495,Male,54,1,Research Scientist,Single,2201,18168,No,16,3,80,6,3,2
35,No,Travel Rarely,755,Research & Development,Life Sciences,496,Male,97,2,Healthcare Representative,Single,6540,19394,No,19,3,80,10,1,1
27,No,Travel Rarely,1469,Research & Development,Medical,497,Male,82,1,Laboratory Technician,Divorced,3816,17881,No,11,3,80,5,5,2
28,No,Travel Rarely,304,Sales,Life Sciences,498,Male,92,2,Sales Executive,Single,5253,20750,No,16,3,80,7,7,5
49,No,Travel Rarely,1261,Research & Development,Other,499,Male,31,3,Healthcare Representative,Single,10965,12066,No,24,4,80,26,5,2
51,No,Travel Rarely,1178,Sales,Life Sciences,500,Female,87,2,Sales Executive,Married,4936,14862,No,11,3,80,18,7,7
36,No,Travel Rarely,329,Research & Development,Life Sciences,501,Female,96,1,Research Scientist,Married,2543,11868,No,13,3,80,6,2,2
34,Yes,Non-Travel,1362,Sales,Marketing,502,Male,67,2,Sales Executive,Single,5304,4652,Yes,13,3,80,9,5,2
55,No,Travel Rarely,1311,Research & Development,Life Sciences,505,Female,97,4,Manager,Single,16659,23258,Yes,13,3,80,30,5,4
24,No,Travel Rarely,1371,Sales,Marketing,507,Female,77,2,Sales Executive,Divorced,4260,5915,Yes,12,3,80,5,5,2
30,No,Travel Rarely,202,Sales,Technical Degree,508,Male,72,1,Sales Representative,Married,2476,17434,No,18,3,80,1,1,0
26,Yes,Travel Frequently,575,Research & Development,Technical Degree,510,Male,73,1,Research Scientist,Single,3102,6582,No,22,4,80,7,6,4
22,No,Travel Rarely,253,Research & Development,Medical,511,Female,43,1,Research Scientist,Married,2244,24440,No,13,3,80,2,2,1
36,No,Travel Rarely,164,Sales,Medical,513,Male,61,3,Sales Executive,Married,7596,3809,No,13,3,80,10,10,9
30,Yes,Travel Frequently,464,Research & Development,Technical Degree,514,Male,40,1,Research Scientist,Single,2285,3427,Yes,23,4,80,3,1,0
37,No,Travel Rarely,1107,Research & Development,Life Sciences,515,Female,95,1,Laboratory Technician,Divorced,3034,26914,No,12,3,80,18,18,7
40,No,Travel Rarely,759,Sales,Marketing,516,Female,46,2,Sales Executive,Divorced,5715,22553,No,12,3,80,8,5,4
42,No,Travel Rarely,201,Research & Development,Life Sciences,517,Female,95,1,Laboratory Technician,Divorced,2576,20490,No,16,3,80,8,5,2
37,No,Travel Rarely,1305,Research & Development,Life Sciences,518,Male,49,2,Manufacturing Director,Single,4197,21123,Yes,12,3,80,18,1,0
43,No,Travel Rarely,982,Research & Development,Life Sciences,520,Male,59,4,Research Director,Divorced,14336,4345,No,11,3,80,25,25,10
40,No,Travel Rarely,555,Research & Development,Medical,521,Female,78,2,Laboratory Technician,Married,3448,13436,No,22,4,80,20,1,0
54,No,Travel Rarely,821,Research & Development,Medical,522,Male,86,5,Research Director,Married,19406,8509,No,11,3,80,24,4,2
34,No,Non-Travel,1381,Sales,Marketing,523,Female,72,2,Sales Executive,Married,6538,12740,No,15,3,80,6,3,2
31,No,Travel Rarely,480,Research & Development,Medical,524,Female,31,2,Manufacturing Director,Married,4306,4156,No,12,3,80,13,13,10
43,No,Travel Frequently,313,Research & Development,Medical,525,Male,61,1,Laboratory Technician,Married,2258,15238,No,20,4,80,8,3,2
43,No,Travel Rarely,1473,Research & Development,Other,526,Female,74,2,Healthcare Representative,Divorced,4522,2227,Yes,14,3,80,8,5,2
25,No,Travel Rarely,891,Sales,Life Sciences,527,Female,99,2,Sales Executive,Single,4487,12090,Yes,11,3,80,5,5,4
37,No,Non-Travel,1063,Research & Development,Medical,529,Female,72,2,Research Scientist,Married,4449,23866,Yes,15,3,80,15,13,11
31,No,Travel Rarely,329,Research & Development,Life Sciences,530,Male,98,1,Laboratory Technician,Married,2218,16193,No,12,3,80,4,4,2
39,No,Travel Frequently,1218,Research & Development,Life Sciences,531,Male,52,5,Manager,Divorced,19197,8213,Yes,14,3,80,21,21,8
56,No,Travel Frequently,906,Sales,Life Sciences,532,Female,86,4,Sales Executive,Married,13212,18256,No,11,3,80,36,7,7
30,No,Travel Rarely,1082,Sales,Technical Degree,533,Female,83,2,Sales Executive,Single,6577,19558,No,11,3,80,6,5,4
41,No,Travel Rarely,645,Sales,Marketing,534,Male,49,3,Sales Executive,Married,8392,19566,No,16,3,80,10,10,7
28,No,Travel Rarely,1300,Research & Development,Medical,536,Male,79,2,Laboratory Technician,Divorced,4558,13535,No,12,3,80,10,10,0
25,Yes,Travel Rarely,688,Research & Development,Medical,538,Male,91,1,Laboratory Technician,Married,4031,9396,No,13,3,80,6,2,2
52,No,Travel Rarely,319,Research & Development,Medical,543,Male,39,3,Manufacturing Director,Married,7969,19609,Yes,14,3,80,28,5,4
45,No,Travel Rarely,192,Research & Development,Life Sciences,544,Male,69,1,Research Scientist,Married,2654,9655,No,21,4,80,8,2,2
52,No,Travel Rarely,1490,Research & Development,Life Sciences,546,Female,30,4,Manager,Married,16555,10310,No,13,3,80,31,5,2
42,No,Travel Frequently,532,Research & Development,Life Sciences,547,Female,92,2,Research Scientist,Divorced,4556,12932,No,11,3,80,19,5,4
30,No,Travel Rarely,317,Research & Development,Life Sciences,548,Female,43,2,Manufacturing Director,Single,6091,24793,No,20,4,80,11,5,4
60,No,Travel Rarely,422,Research & Development,Life Sciences,549,Female,41,5,Manager,Married,19566,3854,No,11,3,80,33,29,8
46,No,Travel Rarely,1485,Research & Development,Medical,550,Female,87,2,Manufacturing Director,Divorced,4810,26314,No,14,3,80,19,10,7
42,No,Travel Frequently,1368,Research & Development,Technical Degree,551,Female,88,2,Healthcare Representative,Married,4523,4386,No,11,3,80,7,6,5
24,Yes,Travel Rarely,1448,Sales,Technical Degree,554,Female,62,1,Sales Representative,Single,3202,21972,Yes,16,3,80,6,5,3
34,Yes,Travel Frequently,296,Sales,Marketing,555,Female,33,1,Sales Representative,Divorced,2351,12253,No,16,3,80,3,2,2
38,No,Travel Frequently,1490,Research & Development,Life Sciences,556,Male,42,1,Laboratory Technician,Married,1702,12106,Yes,23,4,80,1,1,0
40,No,Travel Rarely,1398,Sales,Life Sciences,558,Female,79,5,Manager,Married,18041,13022,No,14,3,80,21,20,15
26,No,Travel Rarely,1349,Research & Development,Life Sciences,560,Female,90,1,Research Scientist,Divorced,2886,3032,No,22,4,80,3,3,2
30,No,Non-Travel,1400,Research & Development,Life Sciences,562,Male,53,1,Laboratory Technician,Married,2097,16734,No,15,3,80,9,5,3
29,No,Travel Rarely,986,Research & Development,Medical,564,Male,93,3,Research Director,Married,11935,21526,No,18,3,80,10,10,2
29,Yes,Travel Rarely,408,Research & Development,Technical Degree,565,Female,71,1,Research Scientist,Married,2546,18300,No,16,3,80,6,2,2
19,Yes,Travel Rarely,489,Human Resources,Technical Degree,566,Male,52,1,Human Resources,Single,2564,18437,No,12,3,80,1,1,0
30,No,Non-Travel,1398,Sales,Other,567,Female,69,3,Sales Executive,Married,8412,2890,No,11,3,80,10,9,8
57,No,Travel Rarely,210,Sales,Marketing,568,Male,56,4,Manager,Divorced,14118,22102,No,12,3,80,32,1,0
50,No,Travel Rarely,1099,Research & Development,Life Sciences,569,Male,88,4,Manager,Married,17046,9314,No,15,3,80,28,27,10
30,No,Non-Travel,1116,Research & Development,Medical,571,Female,49,1,Laboratory Technician,Single,2564,7181,No,14,3,80,12,11,7
60,No,Travel Frequently,1499,Sales,Marketing,573,Female,80,3,Sales Executive,Married,10266,2845,No,19,3,80,22,18,13
47,No,Travel Rarely,983,Research & Development,Medical,574,Female,65,2,Manufacturing Director,Divorced,5070,7389,No,13,3,80,20,5,0
46,No,Travel Rarely,1009,Research & Development,Life Sciences,575,Male,51,4,Research Director,Married,17861,2288,No,13,3,80,26,3,2
35,No,Travel Rarely,144,Research & Development,Life Sciences,577,Male,46,1,Laboratory Technician,Single,4230,19225,No,15,3,80,6,5,4
54,No,Travel Rarely,548,Research & Development,Life Sciences,578,Female,42,2,Laboratory Technician,Single,3780,23428,No,11,3,80,19,1,0
34,No,Travel Rarely,1303,Research & Development,Life Sciences,579,Male,62,1,Research Scientist,Divorced,2768,8416,No,12,3,80,14,7,3
46,No,Travel Rarely,1125,Sales,Marketing,580,Female,94,3,Sales Executive,Married,9071,11563,Yes,19,3,80,15,3,2
31,No,Travel Rarely,1274,Research & Development,Life Sciences,581,Male,33,3,Manufacturing Director,Divorced,10648,14394,No,25,4,80,13,13,8
33,Yes,Travel Rarely,1277,Research & Development,Medical,582,Male,56,3,Manager,Married,13610,24619,Yes,12,3,80,15,7,6
33,Yes,Travel Rarely,587,Research & Development,Medical,584,Male,38,1,Laboratory Technician,Divorced,3408,6705,No,13,3,80,8,4,3
30,No,Travel Rarely,413,Sales,Marketing,585,Male,57,1,Sales Representative,Single,2983,18398,No,14,3,80,4,3,2
35,No,Travel Rarely,1276,Research & Development,Life Sciences,586,Male,72,3,Healthcare Representative,Married,7632,14295,Yes,12,3,80,10,8,7
31,Yes,Travel Frequently,534,Research & Development,Life Sciences,587,Male,66,3,Healthcare Representative,Married,9824,22908,No,12,3,80,12,1,0
34,Yes,Travel Frequently,988,Human Resources,Human Resources,590,Female,43,3,Human Resources,Divorced,9950,11533,Yes,15,3,80,11,3,2
42,No,Travel Frequently,1474,Research & Development,Other,591,Male,97,1,Laboratory Technician,Married,2093,9260,No,17,3,80,8,2,2
36,No,Non-Travel,635,Sales,Medical,592,Male,32,3,Sales Executive,Single,9980,15318,No,14,3,80,10,10,3
22,Yes,Travel Frequently,1368,Research & Development,Technical Degree,593,Male,99,1,Laboratory Technician,Single,3894,9129,No,16,3,80,4,2,2
48,No,Travel Rarely,163,Sales,Marketing,595,Female,37,2,Sales Executive,Married,4051,19658,No,14,3,80,14,9,7
55,No,Travel Rarely,1117,Sales,Life Sciences,597,Female,83,4,Manager,Single,16835,9873,No,23,4,80,37,10,9
41,No,Non-Travel,267,Sales,Life Sciences,599,Male,56,2,Sales Executive,Single,6230,13430,No,14,3,80,16,14,3
35,No,Travel Rarely,619,Sales,Marketing,600,Male,85,2,Sales Executive,Married,4717,18659,No,11,3,80,15,11,9
40,No,Travel Rarely,302,Research & Development,Life Sciences,601,Female,75,4,Manufacturing Director,Single,13237,20364,No,15,3,80,22,20,6
39,No,Travel Frequently,443,Research & Development,Life Sciences,602,Female,48,1,Laboratory Technician,Married,3755,17872,No,11,3,80,8,8,3
31,No,Travel Rarely,828,Sales,Life Sciences,604,Male,77,2,Sales Executive,Single,6582,8346,Yes,13,3,80,10,6,5
42,No,Travel Rarely,319,Research & Development,Medical,605,Male,56,3,Manufacturing Director,Married,7406,6950,Yes,21,4,80,10,10,9
45,No,Travel Rarely,561,Sales,Other,606,Male,61,2,Sales Executive,Married,4805,16177,No,19,3,80,9,8,7
26,Yes,Travel Frequently,426,Human Resources,Life Sciences,608,Female,58,1,Human Resources,Divorced,2741,22808,Yes,11,3,80,8,7,7
29,No,Travel Rarely,232,Research & Development,Technical Degree,611,Male,34,2,Manufacturing Director,Divorced,4262,22645,No,12,3,80,8,3,2
33,No,Travel Rarely,922,Research & Development,Medical,612,Female,95,4,Research Director,Divorced,16184,22578,No,19,3,80,10,6,1
31,No,Travel Rarely,688,Sales,Life Sciences,613,Male,44,3,Manager,Divorced,11557,25291,No,21,4,80,10,5,4
18,Yes,Travel Frequently,1306,Sales,Marketing,614,Male,69,1,Sales Representative,Single,1878,8059,Yes,14,3,80,0,0,0
40,No,Non-Travel,1094,Sales,Other,615,Male,58,3,Sales Executive,Divorced,10932,11373,No,15,3,80,20,1,0
41,No,Non-Travel,509,Research & Development,Other,616,Female,62,2,Healthcare Representative,Single,6811,2112,Yes,17,3,80,10,8,7
26,No,Travel Rarely,775,Sales,Medical,618,Male,45,2,Sales Executive,Divorced,4306,4267,No,12,3,80,8,0,0
35,No,Travel Rarely,195,Sales,Medical,620,Female,80,2,Sales Executive,Single,4859,6698,No,16,3,80,5,5,4
34,No,Travel Rarely,258,Sales,Life Sciences,621,Male,74,2,Sales Executive,Single,5337,19921,No,12,3,80,10,10,7
26,Yes,Travel Rarely,471,Research & Development,Technical Degree,622,Male,66,1,Laboratory Technician,Single,2340,23213,Yes,18,3,80,1,1,0
37,No,Travel Rarely,799,Research & Development,Technical Degree,623,Female,59,3,Manufacturing Director,Single,7491,23848,No,17,3,80,12,6,5
46,No,Travel Frequently,1034,Research & Development,Medical,624,Female,86,3,Healthcare Representative,Married,10527,8984,No,11,3,80,28,2,2
41,No,Travel Rarely,1276,Sales,Life Sciences,625,Female,91,4,Manager,Married,16595,5626,No,16,3,80,22,18,16
37,No,Non-Travel,142,Sales,Medical,626,Male,69,3,Sales Executive,Divorced,8834,24666,No,13,3,80,9,9,5
52,No,Travel Rarely,956,Research & Development,Technical Degree,630,Male,78,2,Research Scientist,Divorced,5577,22087,Yes,12,3,80,18,10,9
32,Yes,Non-Travel,1474,Sales,Other,631,Male,60,2,Sales Executive,Married,4707,23914,No,12,3,80,6,4,2
24,No,Travel Frequently,535,Sales,Medical,632,Male,38,1,Sales Representative,Married,2400,5530,No,13,3,80,3,2,2
38,No,Travel Rarely,1495,Research & Development,Medical,634,Female,76,2,Healthcare Representative,Married,9824,22174,No,19,3,80,18,1,0
37,No,Travel Rarely,446,Research & Development,Life Sciences,635,Female,65,2,Manufacturing Director,Married,6447,15701,No,12,3,80,8,6,5
49,No,Travel Rarely,1245,Research & Development,Life Sciences,638,Male,58,5,Research Director,Divorced,19502,2125,Yes,17,3,80,31,31,9
24,No,Travel Rarely,691,Research & Development,Medical,639,Male,89,1,Research Scientist,Married,2725,21630,Yes,11,3,80,6,6,5
26,No,Travel Rarely,703,Sales,Marketing,641,Male,66,2,Sales Executive,Married,6272,7428,No,20,4,80,6,5,3
24,No,Travel Rarely,823,Research & Development,Other,643,Male,94,1,Laboratory Technician,Married,2127,9100,No,21,4,80,1,1,0
50,No,Travel Frequently,1246,Human Resources,Medical,644,Male,99,5,Manager,Married,18200,7999,No,11,3,80,32,32,5
25,No,Travel Rarely,622,Sales,Medical,645,Male,40,1,Sales Representative,Married,2096,26376,No,11,3,80,7,7,4
24,Yes,Travel Frequently,1287,Research & Development,Life Sciences,647,Female,55,1,Laboratory Technician,Married,2886,14168,Yes,16,3,80,6,6,3
30,Yes,Travel Frequently,448,Sales,Life Sciences,648,Male,74,1,Sales Representative,Married,2033,14470,No,18,3,80,1,1,0
34,No,Travel Rarely,254,Research & Development,Life Sciences,649,Male,83,1,Research Scientist,Married,3622,22794,Yes,13,3,80,6,6,5
31,Yes,Travel Rarely,1365,Sales,Medical,650,Male,46,2,Sales Executive,Divorced,4233,11512,No,17,3,80,9,3,1
35,No,Travel Rarely,538,Research & Development,Other,652,Male,54,2,Laboratory Technician,Single,3681,14004,No,14,3,80,9,3,2
31,No,Travel Rarely,525,Sales,Medical,653,Male,66,2,Sales Executive,Divorced,5460,6219,No,22,4,80,13,7,7
27,No,Travel Rarely,798,Research & Development,Medical,655,Female,66,1,Research Scientist,Divorced,2187,5013,No,12,3,80,6,5,3
37,No,Travel Rarely,558,Sales,Marketing,656,Male,75,2,Sales Executive,Married,9602,3010,Yes,11,3,80,17,3,0
20,No,Travel Rarely,959,Research & Development,Life Sciences,657,Female,83,1,Research Scientist,Single,2836,11757,No,13,3,80,1,1,0
42,No,Travel Rarely,622,Research & Development,Life Sciences,659,Female,81,2,Healthcare Representative,Married,4089,5718,No,13,3,80,10,10,2
43,No,Travel Rarely,782,Research & Development,Other,661,Male,50,4,Research Director,Divorced,16627,2671,Yes,14,3,80,21,1,0
38,No,Travel Rarely,362,Research & Development,Life Sciences,662,Female,43,1,Research Scientist,Single,2619,14561,No,17,3,80,8,0,0
43,No,Travel Frequently,1001,Research & Development,Medical,663,Male,72,2,Laboratory Technician,Divorced,5679,19627,Yes,13,3,80,10,8,7
48,No,Travel Rarely,1236,Research & Development,Life Sciences,664,Female,40,4,Manager,Married,15402,17997,No,11,3,80,21,3,2
44,No,Travel Rarely,1112,Human Resources,Life Sciences,665,Female,50,2,Human Resources,Single,5985,26894,No,11,3,80,10,2,2
34,No,Travel Rarely,204,Sales,Technical Degree,666,Female,31,1,Sales Representative,Divorced,2579,2912,Yes,18,3,80,8,8,2
27,Yes,Travel Rarely,1420,Sales,Marketing,667,Male,85,1,Sales Representative,Divorced,3041,16346,No,11,3,80,5,4,3
21,No,Travel Rarely,1343,Sales,Technical Degree,669,Male,49,1,Sales Representative,Single,3447,24444,No,11,3,80,3,3,2
44,No,Travel Rarely,1315,Research & Development,Other,671,Male,35,5,Manager,Married,19513,9358,Yes,12,3,80,26,2,2
22,No,Travel Rarely,604,Research & Development,Medical,675,Male,69,1,Research Scientist,Married,2773,12145,No,20,4,80,3,2,2
33,No,Travel Rarely,1216,Sales,Marketing,677,Male,39,2,Sales Executive,Divorced,7104,20431,No,12,3,80,6,5,0
32,No,Travel Rarely,646,Research & Development,Life Sciences,679,Female,92,2,Research Scientist,Married,6322,18089,Yes,12,3,80,6,6,4
30,No,Travel Frequently,160,Research & Development,Medical,680,Female,71,1,Research Scientist,Divorced,2083,22653,No,20,4,80,1,1,0
53,No,Travel Rarely,238,Sales,Medical,682,Female,34,2,Sales Executive,Single,8381,7507,No,20,4,80,18,14,7
34,No,Travel Rarely,1397,Research & Development,Life Sciences,683,Male,42,1,Research Scientist,Married,2691,7660,No,12,3,80,10,10,9
45,Yes,Travel Frequently,306,Sales,Life Sciences,684,Female,100,2,Sales Executive,Married,4286,5630,No,14,3,80,5,1,1
26,No,Travel Rarely,991,Research & Development,Life Sciences,686,Female,71,1,Laboratory Technician,Married,2659,17759,Yes,13,3,80,3,3,2
37,No,Travel Rarely,482,Research & Development,Other,689,Male,36,3,Manufacturing Director,Married,9434,9606,No,15,3,80,10,10,7
29,No,Travel Rarely,1176,Sales,Medical,690,Female,62,2,Sales Executive,Married,5561,3487,No,14,3,80,6,6,0
35,No,Travel Rarely,1017,Research & Development,Life Sciences,691,Male,82,2,Research Scientist,Single,6646,19368,No,13,3,80,17,17,11
33,No,Travel Frequently,1296,Research & Development,Life Sciences,692,Male,30,2,Healthcare Representative,Divorced,7725,5335,No,23,4,80,15,13,11
54,No,Travel Rarely,397,Human Resources,Medical,698,Male,88,3,Human Resources,Married,10725,6729,No,15,3,80,16,9,7
36,No,Travel Rarely,913,Research & Development,Medical,699,Male,48,2,Manufacturing Director,Divorced,8847,13934,Yes,11,3,80,13,3,2
27,No,Travel Rarely,1115,Research & Development,Medical,700,Male,54,1,Research Scientist,Single,2045,15174,No,13,3,80,5,4,2
20,Yes,Travel Rarely,1362,Research & Development,Medical,701,Male,32,1,Research Scientist,Single,1009,26999,Yes,11,3,80,1,1,0
33,Yes,Travel Frequently,1076,Research & Development,Life Sciences,702,Male,70,1,Research Scientist,Single,3348,3164,Yes,11,3,80,10,10,8
35,No,Non-Travel,727,Research & Development,Life Sciences,704,Male,41,1,Laboratory Technician,Married,1281,16900,No,18,3,80,1,1,0
23,No,Travel Rarely,885,Research & Development,Medical,705,Male,58,1,Research Scientist,Married,2819,8544,No,16,3,80,5,3,2
25,No,Travel Rarely,810,Sales,Life Sciences,707,Male,57,2,Sales Executive,Married,4851,15678,No,22,4,80,4,3,2
38,No,Travel Rarely,243,Sales,Marketing,709,Female,46,2,Sales Executive,Single,4028,7791,No,20,4,80,8,7,7
29,No,Travel Frequently,806,Research & Development,Life Sciences,710,Male,76,1,Research Scientist,Divorced,2720,18959,No,18,3,80,10,10,7
48,No,Travel Rarely,817,Sales,Marketing,712,Male,56,2,Sales Executive,Married,8120,18597,No,12,3,80,12,2,2
27,No,Travel Frequently,1410,Sales,Medical,714,Female,71,2,Sales Executive,Divorced,4647,16673,Yes,20,4,80,6,6,5
37,No,Travel Rarely,1225,Research & Development,Life Sciences,715,Male,80,1,Research Scientist,Single,4680,15232,No,17,3,80,4,1,0
50,No,Travel Rarely,1207,Research & Development,Medical,716,Male,74,1,Laboratory Technician,Married,3221,3297,Yes,11,3,80,20,20,8
34,No,Travel Rarely,1442,Research & Development,Medical,717,Female,46,3,Healthcare Representative,Single,8621,17654,No,14,3,80,9,8,7
24,Yes,Travel Rarely,693,Sales,Life Sciences,720,Female,65,2,Sales Executive,Single,4577,24785,No,14,3,80,4,2,2
39,No,Travel Rarely,408,Research & Development,Technical Degree,721,Female,80,2,Healthcare Representative,Single,4553,20978,No,11,3,80,20,20,7
32,No,Travel Rarely,929,Sales,Marketing,722,Male,55,2,Sales Executive,Single,5396,21703,No,12,3,80,10,10,7
50,Yes,Travel Frequently,562,Sales,Technical Degree,723,Male,50,2,Sales Executive,Married,6796,23452,Yes,14,3,80,18,4,3
38,No,Travel Rarely,827,Research & Development,Life Sciences,724,Female,33,2,Healthcare Representative,Single,7625,19383,No,13,3,80,10,9,7
27,No,Travel Rarely,608,Research & Development,Life Sciences,725,Female,68,3,Manufacturing Director,Married,7412,6009,No,11,3,80,9,9,7
32,No,Travel Rarely,1018,Research & Development,Life Sciences,727,Female,39,3,Research Director,Single,11159,19373,No,15,3,80,10,7,7
47,No,Travel Rarely,703,Sales,Marketing,728,Male,42,2,Sales Executive,Single,4960,11825,No,12,3,80,20,7,7
40,No,Travel Frequently,580,Sales,Life Sciences,729,Male,48,3,Sales Executive,Married,10475,23772,Yes,21,4,80,20,18,13
53,No,Travel Rarely,970,Research & Development,Life Sciences,730,Male,59,4,Research Director,Married,14814,13514,No,19,3,80,32,5,1
41,No,Travel Rarely,427,Human Resources,Human Resources,731,Male,73,5,Manager,Divorced,19141,8861,No,15,3,80,23,21,6
60,No,Travel Rarely,1179,Sales,Marketing,732,Male,84,2,Sales Executive,Single,5405,11924,No,14,3,80,10,2,2
27,No,Travel Frequently,294,Research & Development,Life Sciences,733,Male,32,3,Manufacturing Director,Divorced,8793,4809,No,21,4,80,9,9,7
41,No,Travel Rarely,314,Human Resources,Human Resources,734,Male,59,5,Manager,Married,19189,19562,No,12,3,80,22,22,7
50,No,Travel Rarely,316,Sales,Marketing,738,Male,54,1,Sales Representative,Married,3875,9983,No,15,3,80,4,2,2
28,Yes,Travel Rarely,654,Research & Development,Life Sciences,741,Female,67,1,Research Scientist,Single,2216,3872,Yes,13,3,80,10,7,7
36,No,Non-Travel,427,Research & Development,Life Sciences,742,Female,63,3,Research Director,Married,11713,20335,No,14,3,80,10,8,7
38,No,Travel Rarely,168,Research & Development,Life Sciences,743,Female,81,3,Manufacturing Director,Single,7861,15397,Yes,14,3,80,10,1,0
44,No,Non-Travel,381,Research & Development,Medical,744,Male,49,1,Laboratory Technician,Single,3708,2104,No,14,3,80,9,5,2
47,No,Travel Frequently,217,Sales,Medical,746,Female,49,4,Sales Executive,Divorced,13770,10225,Yes,12,3,80,28,22,2
30,No,Travel Rarely,501,Sales,Marketing,747,Male,99,2,Sales Executive,Divorced,5304,25275,No,23,4,80,10,8,7
29,No,Travel Rarely,1396,Sales,Life Sciences,749,Male,99,1,Sales Representative,Single,2642,2755,No,11,3,80,1,1,0
42,Yes,Travel Frequently,933,Research & Development,Medical,752,Male,57,1,Research Scientist,Divorced,2759,20366,Yes,12,3,80,7,2,2
43,No,Travel Frequently,775,Sales,Life Sciences,754,Male,47,2,Sales Executive,Married,6804,23683,No,18,3,80,7,2,2
34,No,Travel Rarely,970,Research & Development,Medical,757,Female,96,2,Healthcare Representative,Single,6142,7360,No,11,3,80,10,5,1
23,No,Travel Rarely,650,Research & Development,Medical,758,Male,37,1,Laboratory Technician,Married,2500,4344,No,14,3,80,5,4,3
39,No,Travel Rarely,141,Human Resources,Human Resources,760,Female,44,2,Human Resources,Married,6389,18767,No,15,3,80,12,8,3
56,No,Travel Rarely,832,Research & Development,Medical,762,Male,81,4,Healthcare Representative,Married,11103,20420,No,11,3,80,30,10,7
40,No,Travel Rarely,804,Research & Development,Medical,763,Female,86,1,Research Scientist,Single,2342,22929,Yes,20,4,80,5,4,2
27,No,Travel Rarely,975,Research & Development,Medical,764,Female,55,2,Healthcare Representative,Single,6811,23398,No,19,3,80,9,7,6
29,No,Travel Rarely,1090,Sales,Marketing,766,Male,83,1,Sales Representative,Divorced,2297,17967,No,14,3,80,2,2,2
53,No,Travel Rarely,346,Research & Development,Life Sciences,769,Male,86,2,Laboratory Technician,Single,2450,10919,No,17,3,80,19,2,2
35,No,Non-Travel,1225,Research & Development,Life Sciences,771,Female,61,2,Healthcare Representative,Divorced,5093,4761,No,11,3,80,16,1,0
32,No,Travel Frequently,430,Research & Development,Life Sciences,772,Male,80,2,Laboratory Technician,Married,5309,21146,No,15,3,80,10,10,8
38,No,Travel Rarely,268,Research & Development,Medical,773,Male,92,1,Research Scientist,Married,3057,20471,Yes,13,3,80,6,1,0
34,No,Travel Rarely,167,Research & Development,Life Sciences,775,Female,32,2,Manufacturing Director,Divorced,5121,4187,No,14,3,80,7,0,0
52,No,Travel Rarely,621,Sales,Marketing,776,Male,31,4,Manager,Married,16856,10084,No,11,3,80,34,34,6
33,Yes,Travel Rarely,527,Research & Development,Other,780,Male,63,1,Research Scientist,Single,2686,5207,Yes,13,3,80,10,10,9
25,No,Travel Rarely,883,Sales,Medical,781,Female,32,2,Sales Executive,Single,6180,22807,No,23,4,80,6,6,5
45,No,Travel Rarely,954,Sales,Technical Degree,783,Male,46,2,Sales Representative,Single,6632,12388,No,13,3,80,9,8,7
23,No,Travel Rarely,310,Research & Development,Medical,784,Male,79,1,Research Scientist,Single,3505,19630,No,18,3,80,2,2,2
47,Yes,Travel Frequently,719,Sales,Life Sciences,785,Female,77,2,Sales Executive,Single,6397,10339,Yes,12,3,80,8,5,4
34,No,Travel Rarely,304,Sales,Other,786,Male,60,2,Sales Executive,Single,6274,18686,No,22,4,80,6,6,5
55,Yes,Travel Rarely,725,Research & Development,Medical,787,Male,78,5,Manager,Married,19859,21199,Yes,13,3,80,24,5,2
36,No,Non-Travel,1434,Sales,Life Sciences,789,Male,76,3,Sales Executive,Single,7587,14229,No,15,3,80,10,10,7
52,No,Non-Travel,715,Research & Development,Medical,791,Male,41,1,Research Scientist,Married,4258,26589,No,18,3,80,5,4,3
26,No,Travel Frequently,575,Research & Development,Life Sciences,792,Female,71,1,Laboratory Technician,Divorced,4364,5288,No,14,3,80,5,2,2
29,No,Travel Rarely,657,Research & Development,Medical,793,Female,66,2,Healthcare Representative,Married,4335,25549,No,12,3,80,11,8,7
26,Yes,Travel Rarely,1146,Sales,Technical Degree,796,Male,38,2,Sales Executive,Single,5326,3064,No,17,3,80,6,4,3
34,No,Travel Rarely,182,Research & Development,Life Sciences,797,Female,72,1,Research Scientist,Single,3280,13551,No,16,3,80,10,4,2
54,No,Travel Rarely,376,Research & Development,Medical,799,Female,95,2,Manufacturing Director,Divorced,5485,22670,Yes,11,3,80,9,5,3
27,No,Travel Frequently,829,Sales,Marketing,800,Male,84,2,Sales Executive,Married,4342,24008,No,19,3,80,5,4,2
